,index,Age,Height,Job,Location,Sports,Sex,Longtitude,latitude,Name
0,0,20-24,175.0,other,"south san francisco, california",tennis,Male,21.25670717605291,105.9537212409412,Dennis Copeland
1,1,>30,170.0,other,"oakland, california",tennis,Male,21.317273761914542,105.74137151305935,Erin Garza
2,2,>30,168.0,seller,"san francisco, california",basketball,Male,21.3546573699268,105.96825538421977,Rebecca Miller
3,3,20-24,171.0,student,"berkeley, california",volleyball,Male,21.35149055915454,105.80900733804586,Karen Morales
4,4,25-30,166.0,other,"san francisco, california",tennis,Male,21.000350829319515,105.79934175845274,Ryan Johnson
5,5,25-30,167.0,other,"san francisco, california",volleyball,Male,21.113704051969606,105.74057695524687,Jennifer Miller MD
6,6,>30,165.0,seller,"san francisco, california",tennis,Female,21.24971305078948,105.87340918169308,Christopher Walker
7,7,>30,165.0,other,"san francisco, california",tennis,Female,21.269489858159194,105.9738112788723,Devin Cole
8,8,20-24,167.0,seller,"belvedere tiburon, california",tennis,Female,21.160246824894504,105.91255138555401,Anna Williams
9,9,>30,165.0,student,"san mateo, california",tennis,Male,21.200687104588955,105.94746549543959,Peter Schmidt
10,10,>30,170.0,seller,"san francisco, california",football,Male,21.331492728820077,105.98941895335703,Brandy Maynard
11,11,25-30,172.0,other,"daly city, california",volleyball,Male,20.97019010851573,105.99113750135204,Jessica Long
12,12,20-24,172.0,other,"san francisco, california",football,Male,20.917335142736825,105.97577363784313,Jerry Burns
13,13,>30,166.0,other,"san francisco, california",swimming,Female,21.173115877225793,105.73993852924082,Katherine Hughes
14,14,25-30,162.0,other,"san leandro, california",tennis,Female,21.212293168177315,105.85819144407577,Scott Chapman
15,15,>30,165.0,doctor,"san francisco, california",tennis,Female,21.038429233650675,105.73672535244853,Sara Watson
16,16,>30,170.0,other,"oakland, california",tennis,Male,21.083375593433058,105.8135114057134,Michael Smith
17,17,25-30,164.0,other,"san francisco, california",football,Female,20.973893686975817,106.00712481835325,Laura Allen
18,18,>30,171.0,doctor,"san francisco, california",tennis,Male,21.189618991108816,105.78205164336872,Lori Robinson
19,19,>30,172.0,engineer,"san francisco, california",tennis,Male,21.353584545490403,105.91701289688883,Michelle Oliver
20,20,25-30,167.0,other,"san francisco, california",table_tenis,Female,20.88682311685877,105.92247714209638,Daniel Hoover
21,21,20-24,167.0,student,"san francisco, california",tennis,Female,20.945625407605068,105.7522234713764,Joshua Walter
22,22,>30,169.0,accounting,"san francisco, california",tennis,Male,21.24999744499371,105.80973963307777,Chad Dominguez
23,23,>30,171.0,teacher,"san francisco, california",tennis,Male,21.15014603476918,105.73623007158143,Stephanie Lewis
24,24,>30,173.0,other,"oakland, california",volleyball,Male,20.892849978554512,105.88563499947503,Timothy Martin
25,25,25-30,170.0,doctor,"atherton, california",tennis,Male,21.286808649064,106.01561200245553,Lauren Davis
26,26,20-24,172.0,other,"san francisco, california",table_tenis,Male,21.16914984014729,106.01749082896522,Christopher Garcia
27,27,20-24,167.0,other,"oakland, california",tennis,Male,20.920454001082128,105.87878271120017,Jeffrey Watkins
28,28,>30,174.0,seller,"san francisco, california",tennis,Male,21.348145768595398,105.9139143834361,Rebecca Anderson
29,29,>30,168.0,other,"san francisco, california",football,Male,20.959816658048005,105.77041649151451,Andrew Jackson
30,30,25-30,164.0,other,"san francisco, california",football,Female,20.99201265210108,105.98425895431401,Annette Kim
31,31,25-30,172.0,engineer,"san francisco, california",badminton,Male,21.029395111263398,105.95175645530978,Molly Ellis
32,32,>30,167.0,other,"san leandro, california",football,Female,21.248223769523925,105.85088218126434,Yvonne Soto
33,33,20-24,160.0,other,"san rafael, california",swimming,Female,20.901244374544913,105.83304666821734,David Tate
34,34,25-30,169.0,other,"san francisco, california",tennis,Male,21.225892855083544,105.76210884649305,Joseph Todd
35,35,25-30,169.0,other,"san francisco, california",football,Male,21.18329325318958,105.8791081654047,Angel Gordon
36,36,>30,169.0,engineer,"san francisco, california",table_tenis,Male,21.32055372066793,105.78829860625241,Tammy Wallace
37,37,25-30,169.0,other,"oakland, california",tennis,Male,21.22952688786544,105.74735392774963,Jeremy King
38,38,25-30,163.0,other,"walnut creek, california",football,Female,21.12636881259217,105.80098059434307,Nicholas Morrow
39,39,>30,174.0,other,"san rafael, california",football,Male,21.059459404784217,105.97940689701319,James Martinez
40,40,>30,176.0,other,"menlo park, california",volleyball,Male,21.198542549886774,105.97646029977022,Christopher Rodriguez
41,41,>30,172.0,seller,"oakland, california",football,Male,21.27087084695373,106.02513623439759,Suzanne Mcknight
42,42,>30,175.0,other,"berkeley, california",football,Male,20.943600038521936,105.90333512710912,Yolanda Briggs
43,43,>30,171.0,other,"san francisco, california",badminton,Male,20.932786912588103,105.90672958976398,Vanessa Henson
44,44,25-30,166.0,other,"san francisco, california",basketball,Female,20.901386477782957,105.8031335283797,Mark Bass
45,45,25-30,169.0,teacher,"oakland, california",football,Male,21.047596538674966,105.86360622995605,Shannon Jones
46,46,25-30,173.0,seller,"san francisco, california",football,Male,21.00248610889723,105.8784474829619,Andrew Luna
47,47,25-30,170.0,other,"san francisco, california",football,Male,21.352013337182708,105.74148933911547,Ruben Hopkins
48,48,>30,167.0,other,"san francisco, california",football,Female,21.224100618145343,105.8998362511936,Tommy Rogers
49,49,25-30,166.0,engineer,"belmont, california",tennis,Female,20.92423594428991,105.83993193749495,Sara Rivera
50,50,>30,166.0,other,"oakland, california",football,Female,21.27611709415782,105.92274395550439,David Gilmore
51,51,>30,165.0,seller,"oakland, california",badminton,Female,21.19866000789591,105.92542597277236,Nicholas Moreno
52,52,>30,169.0,engineer,"san francisco, california",tennis,Male,21.061466020712263,105.90157665802478,Steven Mccarty
